Pitcher: Dylan Coleman | ID: 669395 | CU: 0 | CH: 0 | SL: 554 | FF: 741 | FS: 0 | SI: 17 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: David Peterson | ID: 656849 | CU: 128 | CH: 675 | SL: 1081 | FF: 1413 | FS: 0 | SI: 723 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Max Scherzer | ID: 453286 | CU: 1171 | CH: 1967 | SL: 2553 | FF: 6405 | FS: 0 | SI: 0 | FC: 1206 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Adam Ottavino | ID: 493603 | CU: 24 | CH: 117 | SL: 2355 | FF: 444 | FS: 0 | SI: 1899 | FC: 375 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Taijuan Walker | ID: 592836 | CU: 535 | CH: 0 | SL: 1177 | FF: 2174 | FS: 1285 | SI: 973 | FC: 193 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Keegan Akin | ID: 669211 | CU: 127 | CH: 659 | SL: 777 | FF: 1977 | FS: 0 | SI: 0 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Dean Kremer | ID: 665152 | CU: 501 | CH: 401 | SL: 9 | FF: 1402 | FS: 0 | SI: 201 | FC: 911 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Cionel Pérez | ID: 672335 | CU: 1 | CH: 71 | SL: 643 | FF: 1029 | FS: 0 | SI: 155 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Jordan Lyles | ID: 543475 | CU: 2392 | CH: 997 | SL: 1899 | FF: 4229 | FS: 0 | SI: 1063 | FC: 164 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Rafael Montero | ID: 606160 | CU: 0 | CH: 641 | SL: 369 | FF: 1164 | FS: 0 | SI: 586 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
